"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
80358;"Aethusa cynapium";"Aethusa cynapium L., 1753 ";"MOY"
130873;"Aethusa cynapium subsp. cynapium";"Aethusa cynapium subsp. cynapium L., 1753 ";"DD"
611902;"Aethusa cynapium subsp. elata";"Aethusa cynapium subsp. elata (Friedl.) SchÃ¼bl. &  G.Martens, 1834 ";"DD"
80410;"Agrimonia eupatoria";"Agrimonia eupatoria L., 1753 ";"FAI"
130876;"Agrimonia eupatoria subsp. eupatoria";"Agrimonia eupatoria subsp. eupatoria L., 1753 ";"DD"
130877;"Agrimonia eupatoria subsp. grandis";"Agrimonia eupatoria subsp. grandis (Andrz. ex Asch.  & Graebn.) Bornm., 1940 ";"DD"
80417;"Agrimonia procera";"Agrimonia procera Wallr., 1840 ";"MOY"
130885;"Agropyron cristatum subsp. pectinatum";"Agropyron cristatum subsp. pectinatum (M.Bieb.)  Tzvelev, 1970 ";"FOR"
80546;"Agrostemma githago";"Agrostemma githago L., 1753 ";"MOY"
80564;"Agrostis alpina";"Agrostis alpina Scop., 1771 ";"MOY"
80590;"Agrostis canina";"Agrostis canina L., 1753 ";"MOY"
80591;"Agrostis capillaris";"Agrostis capillaris L., 1753 ";"MOY"
80593;"Agrostis castellana";"Agrostis castellana Boiss. & Reut., 1842 ";"MOY"
80639;"Agrostis gigantea";"Agrostis gigantea Roth, 1788 ";"MOY"
610789;"Agrostis marysae-tortiae";"Agrostis marysae-tortiae Portal, 2009 ";"TFO"
80729;"Agrostis rupestris";"Agrostis rupestris All., 1785 ";"MOY"
80739;"Agrostis schleicheri";"Agrostis schleicheri Jord. & Verl., 1855 ";"MOY"
80741;"Agrostis schraderiana";"Agrostis schraderiana Bech., 1938 ";"MOY"
80759;"Agrostis stolonifera";"Agrostis stolonifera L., 1753 ";"MOY"
80798;"Agrostis vinealis";"Agrostis vinealis Schreb., 1771 ";"MOY"
612384;"Agrostis vinealis subsp. ericetorum";"Agrostis vinealis subsp. ericetorum (PrÃ©aub. &  Bouvet) ValdÃ©s & H.Scholz, 2006 ";"MOY"
612385;"Agrostis vinealis subsp. vinealis";"Agrostis vinealis subsp. vinealis Schreb., 1771 ";"MOY"
80846;"Aira armoricana";"Aira armoricana F.Albers, 1979 ";"DD"
80857;"Aira caryophyllea";"Aira caryophyllea L., 1753 ";"DD"
80864;"Aira cupaniana";"Aira cupaniana Guss., 1843 ";"MOY"
80871;"Aira elegantissima";"Aira elegantissima Schur, 1853 ";"MOY"
80902;"Aira multiculmis";"Aira multiculmis Dumort., 1824 ";"DD"
80911;"Aira praecox";"Aira praecox L., 1753 ";"MOY"
80912;"Aira provincialis";"Aira provincialis Jord., 1852 ";"TFO"
80923;"Aira tenorei";"Aira tenorei Guss., 1827 ";"MOY"
971406;"Airopsis tenella";"Airopsis tenella (Cav.) Asch. & Graebn., 1899 ";"FOR"
80978;"Ajuga chamaepitys";"Ajuga chamaepitys (L.) Schreb., 1773 ";"MOY"
80980;"Ajuga genevensis";"Ajuga genevensis L., 1753 ";"MOY"
80983;"Ajuga iva";"Ajuga iva (L.) Schreb., 1773 ";"MOY"
80988;"Ajuga pyramidalis";"Ajuga pyramidalis L., 1753 ";"MOY"
80990;"Ajuga reptans";"Ajuga reptans L., 1753 ";"FAI"
81019;"Alcea biennis";"Alcea biennis Winterl, 1788 ";"MOY"
81023;"Alcea rosea";"Alcea rosea L., 1753 ";"MOY"
81027;"Alchemilla acutiloba";"Alchemilla acutiloba Opiz, 1838 ";"MOY"
81032;"Alchemilla alpigena";"Alchemilla alpigena Buser, 1894 ";"MOY"
81033;"Alchemilla alpina";"Alchemilla alpina L., 1753 ";"FAI"
81035;"Alchemilla amphisericea";"Alchemilla amphisericea Buser, 1906 ";"FOR"
81055;"Alchemilla colorata";"Alchemilla colorata Buser, 1892 ";"DD"
81057;"Alchemilla conjuncta";"Alchemilla conjuncta Bab., 1842 ";"DD"
81058;"Alchemilla connivens";"Alchemilla connivens Buser, 1894 ";"DD"
81059;"Alchemilla coriacea";"Alchemilla coriacea Buser, 1891 ";"DD"
81063;"Alchemilla crinita";"Alchemilla crinita Buser, 1892 ";"DD"
81068;"Alchemilla demissa";"Alchemilla demissa Buser, 1894 ";"DD"
81072;"Alchemilla fallax";"Alchemilla fallax Buser, 1894 ";"DD"
81073;"Alchemilla filicaulis";"Alchemilla filicaulis Buser, 1893 ";"MOY"
81075;"Alchemilla fissa";"Alchemilla fissa GÃ¼nther & Schummel, 1819 ";"MOY"
81076;"Alchemilla flabellata";"Alchemilla flabellata Buser, 1891 ";"MOY"
81083;"Alchemilla frigens";"Alchemilla frigens Buser, 1894 ";"DD"
81086;"Alchemilla fulgens";"Alchemilla fulgens Buser, 1901 ";"DD"
81088;"Alchemilla glabra";"Alchemilla glabra Neygenf., 1821 ";"MOY"
717719;"Alchemilla glacialis";"Alchemilla glacialis Buser ";"FOR"
81091;"Alchemilla glaucescens";"Alchemilla glaucescens Wallr., 1840 ";"MOY"
81092;"Alchemilla glomerulans";"Alchemilla glomerulans Buser, 1893 ";"DD"
81096;"Alchemilla grossidens";"Alchemilla grossidens Buser, 1891 ";"DD"
81097;"Alchemilla heteropoda";"Alchemilla heteropoda Buser, 1894 ";"DD"
81101;"Alchemilla hybrida";"Alchemilla hybrida (L.) L., 1756 ";"DD"
81104;"Alchemilla incisa";"Alchemilla incisa Buser, 1892 ";"DD"
81130;"Alchemilla monticola";"Alchemilla monticola Opiz, 1838 ";"MOY"
81137;"Alchemilla pallens";"Alchemilla pallens Buser, 1892 ";"DD"
81140;"Alchemilla pentaphyllea";"Alchemilla pentaphyllea L., 1753 ";"MOY"
717721;"Alchemilla petiolulans";"Alchemilla petiolulans Buser, 1903 ";"DD"
892219;"Alchemilla reflexa";"Alchemilla reflexa Frost-Ols., 2016 ";"DD"
