"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
79905;"Achillea macrophylla L., 1753";"Achillea macrophylla L., 1753";"MOY"
610735;"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005";"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005";"FOR"
79908;"Achillea millefolium L., 1753";"Achillea millefolium L., 1753";"FAI"
79913;"Achillea nana L., 1753";"Achillea nana L., 1753";"MOY"
79914;"Achillea nobilis L., 1753";"Achillea nobilis L., 1753";"MOY"
79915;"Achillea odorata L., 1759";"Achillea odorata L., 1759";"MOY"
79921;"Achillea ptarmica L., 1753";"Achillea ptarmica L., 1753";"MOY"
130749;"Achillea ptarmica subsp. ptarmica L., 1753";"Achillea ptarmica subsp. ptarmica L., 1753";"MOY"
130750;"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.) Heimerl, 1884";"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.)  Heimerl, 1884";"MOY"
79923;"Achillea roseo-alba Ehrend., 1959";"Achillea roseo-alba Ehrend., 1959";"MOY"
79939;"Achillea tomentosa L., 1753";"Achillea tomentosa L., 1753";"MOY"
717051;"Achnatherum bromoides (L.) P.Beauv., 1812";"Achnatherum bromoides (L.) P.Beauv., 1812";"MOY"
79970;"Achnatherum calamagrostis (L.) P.Beauv., 1812";"Achnatherum calamagrostis (L.) P.Beauv., 1812";"FAI"
610607;"Acis fabrei (Quézel & Girerd) Lledo, A.P.Davis & M.B.Crespo, 2004";"Acis fabrei (Quézel & Girerd) Lledo, A.P.Davis &  M.B.Crespo, 2004";"TFO"
80000;"Acis longifolia J.Gay ex M.Roem., 1847";"Acis longifolia J.Gay ex M.Roem., 1847";"FOR"
610608;"Acis nicaeensis (Ardoino) Lledó, A.P.Davis & M.B.Crespo, 2004";"Acis nicaeensis (Ardoino) Lledó, A.P.Davis &  M.B.Crespo, 2004";"TFO"
80003;"Acis rosea (F.Martin) Sweet, 1829";"Acis rosea (F.Martin) Sweet, 1829";"TFO"
80007;"Aconitum anthora L., 1753";"Aconitum anthora L., 1753";"MOY"
80034;"Aconitum lycoctonum L., 1753";"Aconitum lycoctonum L., 1753";"MOY"
130772;"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman, 1878";"Aconitum lycoctonum subsp. neapolitanum (Ten.)  Nyman, 1878";"MOY"
998925;"Aconitum lycoctonum subsp. vulparia (Rchb.) Ces., 1844";"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,  1889";"MOY"
80037;"Aconitum napellus L., 1753";"Aconitum napellus L., 1753";"MOY"
618651;"Aconitum napellus subsp. burnatii (Gáyer) J.-M.Tison, 2010";"Aconitum napellus subsp. burnatii (Gáyer) J.-M.Tison,  2010";"MOY"
130784;"Aconitum napellus subsp. corsicum (Gáyer) Seitz, 1969";"Aconitum napellus subsp. corsicum (Gáyer) Seitz,  1969";"TFO"
130792;"Aconitum napellus subsp. vulgare Rouy & Foucaud, 1893";"Aconitum napellus subsp. vulgare Rouy & Foucaud,  1893";"MOY"
130802;"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944";"Aconitum variegatum subsp. paniculatum (Arcang.)  Negodi, 1944";"MOY"
80137;"Actaea spicata L., 1753";"Actaea spicata L., 1753";"MOY"
80155;"Adenocarpus complicatus (L.) J.Gay, 1836";"Adenocarpus complicatus (L.) J.Gay, 1836";"MOY"
80162;"Adenocarpus telonensis (Loisel.) DC., 1815";"Adenocarpus telonensis (Loisel.) DC., 1815";"FOR"
80183;"Adenostyles alliariae (Gouan) A.Kern., 1871";"Adenostyles alliariae (Gouan) A.Kern., 1871";"MOY"
80184;"Adenostyles alpina (L.) Bluff & Fingerh., 1825";"Adenostyles alpina (L.) Bluff & Fingerh., 1825";"MOY"
130835;"Adenostyles alpina subsp. briquetii (Gamisans) Tutin, 1975";"Adenostyles alpina subsp. briquetii (Gamisans) Tutin,  1975";"TFO"
80190;"Adenostyles leucophylla (Willd.) Rchb., 1831";"Adenostyles leucophylla (Willd.) Rchb., 1831";"MOY"
447951;"Adiantum capillus-veneris L., 1753";"Adiantum capillus-veneris L., 1753";"MOY"
80211;"Adonis aestivalis L., 1762";"Adonis aestivalis L., 1762";"MOY"
80212;"Adonis annua L., 1753 [nom. et typ. cons.]";"Adonis annua L., 1753";"MOY"
80224;"Adonis flammea Jacq., 1776";"Adonis flammea Jacq., 1776";"MOY"
80238;"Adonis pyrenaica DC., 1815";"Adonis pyrenaica DC., 1815";"FOR"
80240;"Adonis vernalis L., 1753";"Adonis vernalis L., 1753";"MOY"
80243;"Adoxa moschatellina L., 1753";"Adoxa moschatellina L., 1753";"MOY"
80278;"Aegilops geniculata Roth, 1797";"Aegilops geniculata Roth, 1797";"MOY"
80288;"Aegilops neglecta Req. ex Bertol., 1835";"Aegilops neglecta Req. ex Bertol., 1835";"MOY"
80302;"Aegilops triuncialis L., 1753 [nom. et typ. cons.]";"Aegilops triuncialis L., 1753";"MOY"
80304;"Aegilops ventricosa Tausch, 1837";"Aegilops ventricosa Tausch, 1837";"FOR"
80322;"Aegopodium podagraria L., 1753";"Aegopodium podagraria L., 1753";"MOY"
80329;"Aeluropus littoralis (Gouan) Parl., 1850";"Aeluropus littoralis (Gouan) Parl., 1850";"MOY"
80347;"Aethionema monospermum W.T.Aiton, 1812";"Aethionema monospermum R.Br., 1812";"FOR"
80350;"Aethionema saxatile (L.) W.T.Aiton, 1812";"Aethionema saxatile (L.) R.Br., 1812";"MOY"
80351;"Aethionema thomasianum J.Gay, 1845";"Aethionema thomasianum J.Gay, 1845";"MOY"
80358;"Aethusa cynapium L., 1753";"Aethusa cynapium L., 1753";"MOY"
130873;"Aethusa cynapium subsp. cynapium L., 1753";"Aethusa cynapium subsp. cynapium L., 1753";"DD"
611902;"Aethusa cynapium subsp. elata (Friedl. ex Hoffm.) Schübl. & G.Martens, 1834";"Aethusa cynapium subsp. elata (Friedl.) Schübl. &  G.Martens, 1834";"DD"
80410;"Agrimonia eupatoria L., 1753";"Agrimonia eupatoria L., 1753";"FAI"
130876;"Agrimonia eupatoria subsp. eupatoria L., 1753";"Agrimonia eupatoria subsp. eupatoria L., 1753";"DD"
130877;"Agrimonia eupatoria subsp. grandis (Andrz. ex Asch. & Graebn.) Bornm., 1940";"Agrimonia eupatoria subsp. grandis (Andrz. ex Asch.  & Graebn.) Bornm., 1940";"DD"
80417;"Agrimonia procera Wallr., 1840";"Agrimonia procera Wallr., 1840";"MOY"
130885;"Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev, 1970";"Agropyron cristatum subsp. pectinatum (M.Bieb.)  Tzvelev, 1970";"FOR"
80546;"Agrostemma githago L., 1753";"Agrostemma githago L., 1753";"MOY"
80564;"Agrostis alpina Scop., 1771";"Agrostis alpina Scop., 1771";"MOY"
80590;"Agrostis canina L., 1753 [nom. et typ. cons.]";"Agrostis canina L., 1753";"MOY"
80591;"Agrostis capillaris L., 1753";"Agrostis capillaris L., 1753";"MOY"
80593;"Agrostis castellana Boiss. & Reut., 1842";"Agrostis castellana Boiss. & Reut., 1842";"MOY"
80639;"Agrostis gigantea Roth, 1788";"Agrostis gigantea Roth, 1788";"MOY"
610789;"Agrostis marysae-tortiae Portal, 2009";"Agrostis marysae-tortiae Portal, 2009";"TFO"
80729;"Agrostis rupestris All., 1785";"Agrostis rupestris All., 1785";"MOY"
80739;"Agrostis schleicheri Jord. & Verl., 1855";"Agrostis schleicheri Jord. & Verl., 1855";"MOY"
80741;"Agrostis schraderiana Bech., 1938";"Agrostis schraderiana Bech., 1938";"MOY"
80759;"Agrostis stolonifera L., 1753";"Agrostis stolonifera L., 1753";"MOY"
80798;"Agrostis vinealis Schreb., 1771";"Agrostis vinealis Schreb., 1771";"MOY"
612384;"Agrostis vinealis subsp. ericetorum (Préaub. & Bouvet) Valdés & H.Scholz, 2006";"Agrostis vinealis subsp. ericetorum (Préaub. &  Bouvet) Valdés & H.Scholz, 2006";"MOY"
612385;"Agrostis vinealis subsp. vinealis Schreb., 1771";"Agrostis vinealis subsp. vinealis Schreb., 1771";"MOY"
80846;"Aira armoricana F.Albers, 1979";"Aira armoricana F.Albers, 1979";"DD"
80857;"Aira caryophyllea L., 1753";"Aira caryophyllea L., 1753";"DD"
80864;"Aira cupaniana Guss., 1843";"Aira cupaniana Guss., 1843";"MOY"
80871;"Aira elegantissima Schur, 1853";"Aira elegantissima Schur, 1853";"MOY"
80902;"Aira multiculmis Dumort., 1824";"Aira multiculmis Dumort., 1824";"DD"
80911;"Aira praecox L., 1753 [nom. et typ. cons.]";"Aira praecox L., 1753";"MOY"
80912;"Aira provincialis Jord., 1852";"Aira provincialis Jord., 1852";"TFO"
80923;"Aira tenorei Guss., 1827";"Aira tenorei Guss., 1827";"MOY"
971406;"Airopsis tenella (Cav.) Coss. & Durieu, 1855";"Airopsis tenella (Cav.) Asch. & Graebn., 1899";"FOR"
80978;"Ajuga chamaepitys (L.) Schreb., 1773";"Ajuga chamaepitys (L.) Schreb., 1773";"MOY"
80980;"Ajuga genevensis L., 1753";"Ajuga genevensis L., 1753";"MOY"
80983;"Ajuga iva (L.) Schreb., 1773";"Ajuga iva (L.) Schreb., 1773";"MOY"
80988;"Ajuga pyramidalis L., 1753";"Ajuga pyramidalis L., 1753";"MOY"
80990;"Ajuga reptans L., 1753";"Ajuga reptans L., 1753";"FAI"
81019;"Alcea biennis Winterl, 1788";"Alcea biennis Winterl, 1788";"MOY"
81023;"Alcea rosea L., 1753";"Alcea rosea L., 1753";"MOY"
81027;"Alchemilla acutiloba Opiz, 1838";"Alchemilla acutiloba Opiz, 1838";"MOY"
81032;"Alchemilla alpigena Buser, 1894";"Alchemilla alpigena Buser, 1894";"MOY"
81033;"Alchemilla alpina L., 1753";"Alchemilla alpina L., 1753";"FAI"
81035;"Alchemilla amphisericea Buser, 1906";"Alchemilla amphisericea Buser, 1906";"FOR"
81055;"Alchemilla colorata Buser, 1892";"Alchemilla colorata Buser, 1892";"DD"
81057;"Alchemilla conjuncta Bab., 1842";"Alchemilla conjuncta Bab., 1842";"DD"
81058;"Alchemilla connivens Buser, 1894";"Alchemilla connivens Buser, 1894";"DD"
81059;"Alchemilla coriacea Buser, 1891";"Alchemilla coriacea Buser, 1891";"DD"
81063;"Alchemilla crinita Buser, 1892";"Alchemilla crinita Buser, 1892";"DD"
81068;"Alchemilla demissa Buser, 1894";"Alchemilla demissa Buser, 1894";"DD"
81072;"Alchemilla fallax Buser, 1894";"Alchemilla fallax Buser, 1894";"DD"
81073;"Alchemilla filicaulis Buser, 1893";"Alchemilla filicaulis Buser, 1893";"MOY"
81075;"Alchemilla fissa Günther & Schummel, 1819";"Alchemilla fissa Günther & Schummel, 1819";"MOY"
81076;"Alchemilla flabellata Buser, 1891";"Alchemilla flabellata Buser, 1891";"MOY"
81083;"Alchemilla frigens Buser, 1894";"Alchemilla frigens Buser, 1894";"DD"
81086;"Alchemilla fulgens Buser, 1901";"Alchemilla fulgens Buser, 1901";"DD"
81088;"Alchemilla glabra Neygenf., 1821";"Alchemilla glabra Neygenf., 1821";"MOY"
717719;"Alchemilla glacialis Buser, 1905";"Alchemilla glacialis Buser";"FOR"
81091;"Alchemilla glaucescens Wallr., 1840";"Alchemilla glaucescens Wallr., 1840";"MOY"
81092;"Alchemilla glomerulans Buser, 1893";"Alchemilla glomerulans Buser, 1893";"DD"
81096;"Alchemilla grossidens Buser, 1891";"Alchemilla grossidens Buser, 1891";"DD"
81097;"Alchemilla heteropoda Buser, 1894";"Alchemilla heteropoda Buser, 1894";"DD"
81101;"Alchemilla hybrida (L.) L., 1756";"Alchemilla hybrida (L.) L., 1756";"DD"
81104;"Alchemilla incisa Buser, 1892";"Alchemilla incisa Buser, 1892";"DD"
81130;"Alchemilla monticola Opiz, 1838";"Alchemilla monticola Opiz, 1838";"MOY"
81137;"Alchemilla pallens Buser, 1892";"Alchemilla pallens Buser, 1892";"DD"
81140;"Alchemilla pentaphyllea L., 1753";"Alchemilla pentaphyllea L., 1753";"MOY"
717721;"Alchemilla petiolulans Buser, 1903";"Alchemilla petiolulans Buser, 1903";"DD"
892219;"Alchemilla reflexa Frost-Ols., 2016";"Alchemilla reflexa Frost-Ols., 2016";"DD"
81159;"Alchemilla saxatilis Buser, 1891";"Alchemilla saxatilis Buser, 1891";"MOY"
81059;"Alchemilla coriacea Buser, 1891";"Alchemilla straminea Buser, 1894";"DD"
608142;"Alchemilla strigosula Buser, 1893";"Alchemilla strigosula Buser, 1893";"DD"
81170;"Alchemilla subcrenata Buser, 1893";"Alchemilla subcrenata Buser, 1893";"DD"
81171;"Alchemilla subsericea Reut., 1854";"Alchemilla subsericea Reut., 1854";"DD"
81097;"Alchemilla heteropoda Buser, 1894";"Alchemilla tenuis Buser, 1894";"DD"
81179;"Alchemilla transiens (Buser) Buser, 1898";"Alchemilla transiens (Buser) Buser, 1898";"MOY"
81182;"Alchemilla trunciloba Buser, 1894";"Alchemilla trunciloba Buser, 1894";"DD"
81190;"Alchemilla vetteri Buser, 1896";"Alchemilla vetteri Buser, 1896";"DD"
81195;"Alchemilla xanthochlora Rothm., 1937";"Alchemilla xanthochlora Rothm., 1937";"MOY"
81197;"Aldrovanda vesiculosa L., 1753";"Aldrovanda vesiculosa L., 1753";"DD"
81260;"Alisma gramineum Lej., 1811";"Alisma gramineum Lej., 1811";"DD"
81263;"Alisma lanceolatum With., 1796";"Alisma lanceolatum With., 1796";"MOY"
81272;"Alisma plantago-aquatica L., 1753";"Alisma plantago-aquatica L., 1753";"MOY"
161879;"Alkanna lutea A.DC., 1846";"Alkanna lutea Moris, 1845";"TFO"
81287;"Alkanna matthioli Tausch, 1824";"Alkanna matthioli Tausch, 1824";"FOR"
81295;"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913";"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913";"MOY"
81297;"Allium acutiflorum Loisel., 1809";"Allium acutiflorum Loisel., 1809";"TFO"
81313;"Allium ampeloprasum L., 1753";"Allium ampeloprasum L., 1753";"FOR"
81316;"Allium angulosum L., 1753";"Allium angulosum L., 1753";"FOR"
161002;"Allium atroviolaceum Boiss., 1846";"Allium atroviolaceum auct., non Boiss. 1846";"DD"
81336;"Allium carinatum L., 1753";"Allium carinatum L., 1753";"FOR"
81341;"Allium chamaemoly L., 1753";"Allium chamaemoly L., 1753";"MOY"
81347;"Allium coloratum Spreng., 1825";"Allium coloratum Spreng., 1825";"MOY"
81350;"Allium commutatum Guss., 1855";"Allium commutatum Guss., 1855";"MOY"
81355;"Allium consimile Jord. ex Gren., 1855";"Allium consimile Jord. ex Gren., 1855";"TFO"
81359;"Allium corsicum Jauzein, J.-M.Tison, Deschâtres & H.Couderc, 2002";"Allium corsicum Jauzein, J.-M.Tison, Deschâtres &  H.Couderc, 2002";"TFO"
610829;"Allium cyrilli Ten., 1827";"Allium cyrilli Ten., 1829";"DD"
81376;"Allium flavum L., 1753";"Allium flavum L., 1753";"MOY"
81378;"Allium flexum Waldst. & Kit., 1812";"Allium flexum Waldst. & Kit., 1812";"DD"
923594;"Allium longispathum Redouté, 1811";"Allium longispathum D.Delaroche, 1811";"MOY"
81423;"Allium lusitanicum Lam., 1783";"Allium lusitanicum Lam., 1783";"FAI"
81433;"Allium moly L., 1753";"Allium moly L., 1753";"FOR"
81439;"Allium moschatum L., 1753";"Allium moschatum L., 1753";"MOY"
81443;"Allium narcissiflorum Vill., 1779";"Allium narcissiflorum Vill., 1779";"MOY"
81445;"Allium neapolitanum Cirillo, 1788";"Allium neapolitanum Cirillo, 1788";"MOY"
81449;"Allium nigrum L., 1762 [nom. et typ. cons.]";"Allium nigrum L., 1762";"FOR"
81457;"Allium oleraceum L., 1753";"Allium oleraceum L., 1753";"FAI"
81459;"Allium oporinanthum Brullo, Pavone & Salmeri, 1997";"Allium oporinanthum Brullo, Pavone & Salmeri, 1977";"MOY"
81463;"Allium pallens L., 1762";"Allium pallens L., 1762";"MOY"
81468;"Allium parciflorum Viv., 1825";"Allium parciflorum Viv., 1825";"FOR"
81473;"Allium pendulinum Ten., 1811";"Allium pendulinum Ten., 1815";"MOY"
81479;"Allium polyanthum Schult. & Schult.f., 1830";"Allium polyanthum Schult. & Schult.f., 1830";"MOY"
81499;"Allium roseum L., 1753";"Allium roseum L., 1753";"MOY"
81501;"Allium rotundum L., 1762";"Allium rotundum L., 1762";"MOY"
81506;"Allium savii Parl., 1857";"Allium savii Parl., 1857";"FOR"
81507;"Allium scaberrimum J.Serres, 1857";"Allium scaberrimum J.Serres, 1857";"FOR"
81508;"Allium schoenoprasum L., 1753";"Allium schoenoprasum L., 1753";"MOY"
81510;"Allium scorodoprasum L., 1753";"Allium scorodoprasum L., 1753";"MOY"
81516;"Allium siculum Ucria, 1793";"Allium siculum Ucria, 1793";"MOY"
81520;"Allium sphaerocephalon L., 1753";"Allium sphaerocephalon L., 1753";"MOY"
81522;"Allium strictum Schrad., 1809";"Allium strictum Schrad., 1809";"MOY"
81525;"Allium subhirsutum L., 1753";"Allium subhirsutum L., 1753";"MOY"
81530;"Allium tenuiflorum Ten., 1815";"Allium tenuiflorum Ten., 1815";"TFO"
81538;"Allium triquetrum L., 1753";"Allium triquetrum L., 1753";"MOY"
81541;"Allium ursinum L., 1753";"Allium ursinum L., 1753";"MOY"
81543;"Allium victorialis L., 1753";"Allium victorialis L., 1753";"MOY"
81544;"Allium vineale L., 1753";"Allium vineale L., 1753";"MOY"
959200;"Oeosporangium acrosticum (Balb.) L.Sáez & Aymerich, 2017";"Allosorus acrosticus (Balb.) Christenh., 2012";"MOY"
959208;"Oeosporangium guanchicum (Bolle) Fraser-Jenk. & Pariyar, 2017";"Allosorus guanchicus (Bolle) Christenh., 2012";"MOY"
959211;"Oeosporangium hispanicum (Mett.) Fraser-Jenk. & Pariyar, 2017";"Allosorus hispanicus (Mett.) Christenh., 2012";"MOY"
959230;"Oeosporangium pteridioides (Reichard) Fraser-Jenk. & Pariyar, 2016";"Allosorus pteridioides (Reichard) Christenh., 2012";"MOY"
959234;"Oeosporangium tinaei (Tod.) Fraser-Jenk., 2017";"Allosorus tinaei (Tod.) Christenh., 2012";"MOY"
131226;"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch, 1872";"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch,  1872";"MOY"
131227;"Alnus alnobetula subsp. suaveolens (Req.) Lambinon & Kerguélen, 1988";"Alnus alnobetula subsp. suaveolens (Req.) Lambinon  & Kerguélen, 1988";"FOR"
81567;"Alnus cordata (Loisel.) Duby, 1828";"Alnus cordata (Loisel.) Duby, 1828";"MOY"
81569;"Alnus glutinosa (L.) Gaertn., 1790";"Alnus glutinosa (L.) Gaertn., 1790";"MOY"
81570;"Alnus incana (L.) Moench, 1794";"Alnus incana (L.) Moench, 1794";"MOY"
81610;"Alopecurus aequalis Sobol., 1799";"Alopecurus aequalis Sobol., 1799";"MOY"
81624;"Alopecurus bulbosus Gouan, 1762";"Alopecurus bulbosus Gouan, 1762";"FOR"
81637;"Alopecurus geniculatus L., 1753";"Alopecurus geniculatus L., 1753";"MOY"
81638;"Alopecurus gerardi Vill., 1786";"Alopecurus gerardi Vill., 1786";"FAI"
81648;"Alopecurus myosuroides Huds., 1762";"Alopecurus myosuroides Huds., 1762";"MOY"
81656;"Alopecurus pratensis L., 1753";"Alopecurus pratensis L., 1753";"MOY"
81837;"Althaea cannabina L., 1753";"Althaea cannabina L., 1753";"MOY"
81856;"Althaea officinalis L., 1753";"Althaea officinalis L., 1753";"MOY"
81869;"Althenia filiformis Petit, 1829";"Althenia filiformis Petit, 1829";"MOY"
131262;"Althenia filiformis subsp. filiformis Petit, 1829";"Althenia filiformis subsp. filiformis Petit, 1829";"MOY"
131263;"Althenia filiformis subsp. orientalis Tzvelev, 1975";"Althenia filiformis subsp. orientalis Tzvelev, 1975";"FOR"
81875;"Alyssoides utriculata (L.) Medik., 1789";"Alyssoides utriculata (L.) Medik., 1789";"MOY"
81876;"Alyssum alpestre L., 1767";"Alyssum alpestre L., 1767";"MOY"
81878;"Alyssum alyssoides (L.) L., 1759";"Alyssum alyssoides (L.) L., 1759";"MOY"
810907;"Alyssum cacuminum Španiel, Marhold & Lihová, 2014";"Alyssum cacuminum Španiel, Marhold & Lihová, 2014";"MOY"
161703;"Alyssum flexicaule Jord., 1846";"Alyssum flexicaule Jord., 1846";"FOR"
81923;"Alyssum montanum L., 1753 [nom. et typ. cons.]";"Alyssum montanum L., 1753";"MOY"
81926;"Alyssum orophilum Jord. & Fourr., 1868";"Alyssum orophilum Jord. & Fourr., 1868";"TFO"
81935;"Alyssum rhodanense Jord. & Fourr., 1868";"Alyssum rhodanense Jord. & Fourr., 1868";"TFO"
81936;"Alyssum robertianum Bernard, Godr. & Gren., 1848";"Alyssum robertianum Bernard, Godr. & Gren., 1848";"TFO"
81943;"Alyssum serpyllifolium Desf., 1799";"Alyssum serpyllifolium Desf., 1799";"FOR"
81944;"Alyssum simplex Rudolphi, 1799";"Alyssum simplex Rudolphi, 1799";"MOY"
81966;"Amaranthus blitum L., 1753";"Amaranthus blitum L., 1753";"MOY"
131285;"Amaranthus blitum subsp. blitum L., 1753";"Amaranthus blitum subsp. blitum L., 1753";"DD"
131286;"Amaranthus blitum subsp. emarginatus (Salzm. ex Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol, 1987";"Amaranthus blitum subsp. emarginatus (Salzm. ex  Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol,  1987";"MOY"
131292;"Amaranthus graecizans subsp. silvestris (Vill.) Brenan, 1961";"Amaranthus graecizans subsp. silvestris (Vill.) Brenan,  1961";"FOR"
82086;"Ambrosia maritima L., 1753";"Ambrosia maritima L., 1753";"DD"
82095;"Ambrosina bassii L., 1764";"Ambrosina bassii L., 1764";"FOR"
82103;"Amelanchier ovalis Medik., 1793";"Amelanchier ovalis Medik., 1793";"MOY"
131308;"Amelanchier ovalis subsp. ovalis Medik., 1793";"Amelanchier ovalis subsp. embergeri Favarger & Stearn, 1983";"DD"
131308;"Amelanchier ovalis subsp. ovalis Medik., 1793";"Amelanchier ovalis subsp. ovalis Medik., 1793";"MOY"
82130;"Ammi majus L., 1753";"Ammi majus L., 1753";"MOY"
82136;"Ammoides pusilla (Brot.) Breistr., 1947";"Ammoides pusilla (Brot.) Breistr., 1947";"MOY"
131314;"Ammophila arenaria subsp. arundinacea (Husn.) H.Lindb., 1932";"Ammophila arenaria subsp. arundinacea (Husn.)  H.Lindb., 1932";"FOR"
82173;"Ampelodesmos mauritanicus (Poir.) T.Durand & Schinz, 1894";"Ampelodesmos mauritanicus (Poir.) T.Durand &  Schinz, 1894";"FOR"
82280;"Anacamptis collina (Banks & Sol. ex Russell) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis collina (Banks & Sol. ex Russell)  R.M.Bateman, Pridgeon & M.W.Chase, 1997";"DD"
82282;"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997";"MOY"
162132;"Anacamptis coriophora subsp. coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis coriophora subsp. coriophora (L.)  R.M.Bateman, Pridgeon & M.W.Chase, 1997";"MOY"
162133;"Anacamptis coriophora subsp. martrinii (Timb.-Lagr.) Jacquet & Scappat., 2003";"Anacamptis coriophora subsp. martrinii (Timb.-Lagr.)  Jacquet & Scappat., 2003";"MOY"
717075;"Anacamptis fragrans (Pollini) R.M.Bateman, 2003";"Anacamptis fragrans (Pollini) R.M.Bateman, 2003";"MOY"
82283;"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997";"MOY"
82285;"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis morio (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997";"MOY"
719215;"Anacamptis morio subsp. champagneuxii (Barnéoud) H.Kretzschmar, Eccarius & H.Dietr., 2007";"Anacamptis morio subsp. champagneuxii (Barnéoud)  H.Kretzschmar, Eccarius & H.Dietr., 2007";"FOR"
719216;"Anacamptis morio subsp. longicornu (Poir.) H.Kretzschmar, Eccarius & H.Dietr., 2007";"Anacamptis morio subsp. longicornu (Poir.)  H.Kretzschmar, Eccarius & H.Dietr., 2007";"FOR"
719217;"Anacamptis morio subsp. morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis morio subsp. morio (L.) R.M.Bateman,  Pridgeon & M.W.Chase, 1997";"MOY"
626615;"Anacamptis morio subsp. picta (Loisel.) Jacquet & Scappat., 2003";"Anacamptis morio subsp. picta (Loisel.) Jacquet &  Scappat., 2003";"MOY"
82286;"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997";"FOR"
82287;"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997";"MOY"
82288;"Anacamptis pyramidalis (L.) Rich., 1817";"Anacamptis pyramidalis (L.) Rich., 1817";"MOY"
82305;"Anacyclus clavatus (Desf.) Pers., 1807";"Anacyclus clavatus (Desf.) Pers., 1807";"MOY"
82315;"Anacyclus radiatus Loisel., 1828";"Anacyclus radiatus Loisel., 1828";"FOR"
82318;"Anacyclus valentinus L., 1753";"Anacyclus valentinus L., 1753";"FOR"
