"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
79319;"Abies alba Mill., 1768";"Abies alba Mill., 1768";"MOY"
79716;"Acanthoprasium frutescens (L.) Spenn., 1843";"Acanthoprasium frutescens (L.) Spenn., 1843";"FOR"
79721;"Acanthus mollis L., 1753";"Acanthus mollis L., 1753";"MOY"
79734;"Acer campestre L., 1753";"Acer campestre L., 1753";"FAI"
79763;"Acer monspessulanum L., 1753";"Acer monspessulanum L., 1753";"MOY"
79770;"Acer opalus Mill., 1768";"Acer opalus Mill., 1768";"MOY"
130714;"Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams, 1924";"Acer opalus subsp. obtusatum (Waldst. & Kit. ex  Willd.) Gams, 1924";"MOY"
130715;"Acer opalus subsp. opalus Mill., 1768";"Acer opalus subsp. opalus Mill., 1768";"MOY"
79779;"Acer platanoides L., 1753";"Acer platanoides L., 1753";"MOY"
79783;"Acer pseudoplatanus L., 1753";"Acer pseudoplatanus L., 1753";"FAI"
79865;"Achillea ageratum L., 1753";"Achillea ageratum L., 1753";"FOR"
79874;"Achillea chamaemelifolia Pourr., 1788";"Achillea chamaemelifolia Pourr., 1788";"FOR"
896277;"Achillea collina (Becker ex Wirtg.) Heimerl, 1883";"Achillea collina (Becker ex Wirtg.) Heimerl, 1883";"MOY"
612382;"Achillea distans subsp. stricta (Schleich. ex W.D.J.Koch) Janch., 1941";"Achillea distans subsp. stricta (Schleich. ex  W.D.J.Koch) Janch., 1941";"DD"
130726;"Achillea distans subsp. tanacetifolia (All.) Janch., 1942";"Achillea distans subsp. tanacetifolia (All.) Janch., 1942";"MOY"
79886;"Achillea distans Waldst. & Kit. ex Willd., 1803";"Achillea distans Waldst. & Kit. ex Willd., 1803";"MOY"
130728;"Achillea erba-rotta subsp. erba-rotta All., 1773";"Achillea erba-rotta subsp. erba-rotta All., 1773";"MOY"
79903;"Achillea ligustica All., 1773";"Achillea ligustica All., 1773";"MOY"
