"CD_NOM";"LB_NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION";"X";"REGNE";"PHYLUM";"CLASSE";"ORDRE";"FAMILLE";"SOUS_FAMILLE";"TRIBU";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"CD_TAXSUP";"CD_SUP";"CD_REF";"RANG";"LB_NOM";"LB_AUTEUR";"NOM_COMPLET";"NOM_COMPLET_HTML";"NOM_VALIDE";"NOM_VERN";"NOM_VERN_ENG";"HABITAT";"FR";"GF";"MAR";"GUA";"SM";"SB";"SPM";"MAY";"EPA";"REU";"SA";"TA";"TAAF";"PF";"NC";"WF";"CLI";"URL"
NA;"NOMATCH";"Hieracium vaccariarum J.-M. Tison, nom. prov.";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463602;"Puccinia jurineae-humilis";"Jurinea humilis (Desf.) DC., 1838";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Knautia timeroyii subsp. carpophylax (Jord.) B.Bock,  2012";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463980;"Uromyces poae-alpinae";"Poa alpina L., 1753";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463927;"Ustilago poae-nemoralis";"Poa nemoralis L., 1753";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
857083;"Mollisia potentillae-erectae";"Potentilla erecta (L.) Raeusch., 1797";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Rubus aculeolatus P.J.Müll., 1859";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
868584;"Septoria salviae-pratensis";"Salvia pratensis L., 1753";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
911052;"Uromyces setariae-italicae";"Setaria italica (L.) P.Beauv., 1812";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Setaria italica subsp. weinmannii (Roem. & Schult.)  B.Bock, 2012";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
856628;"Mycosphaerella silenes-acaulis";"Silene acaulis (L.) Jacq., 1762";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
999703;"Microbotryum silenes-dioicae";"Silene dioica (L.) Clairv., 1811";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
905314;"Microbotryum silenes-saxifragae";"Silene saxifraga L., 1753";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
867750;"Hendersonia stipae-pennatae";"Stipa pennata L., 1753";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
464455;"Microbotryum tragopogonis-pratensis";"Tragopogon pratensis L., 1753";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
462211;"Endophyllum valerianae-tuberosae";"Valeriana tuberosa L., 1753";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1002455;"Entylomella veronicae-cymbalariae";"Veronica cymbalaria Bodard, 1798";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
464020;"Uromyces viciae-craccae";"Vicia cracca L., 1753";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
970279;"Peronospora viciae-sativae";"Vicia sativa L., 1753";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
